Region,AgeVariable,Year,AvgDisposibleIncome
Upplands Väsby,20-24 years,2010,3.0
Upplands Väsby,20-24 years,2011,3.1
Upplands Väsby,20-24 years,2012,3.1
Upplands Väsby,20-24 years,2013,3.1
Upplands Väsby,20-24 years,2014,3.2
Upplands Väsby,20-24 years,2015,3.4
Upplands Väsby,20-24 years,2016,3.5
Upplands Väsby,20-24 years,2017,3.7
Upplands Väsby,20-24 years,2018,3.7
Upplands Väsby,20-24 years,2019,3.6
Upplands Väsby,20-24 years,2020,3.5
Upplands Väsby,20-24 years,2021,3.6
Upplands Väsby,20-24 years,2022,3.8
Upplands Väsby,20-24 years,2023,3.2
Upplands Väsby,age 25-34 years,1997,3.6
Upplands Väsby,age 25-34 years,1998,3.7
Upplands Väsby,age 25-34 years,1999,3.9
Upplands Väsby,age 25-34 years,2000,4.2
Upplands Väsby,age 25-34 years,2001,4.4
Upplands Väsby,age 25-34 years,2002,4.4
Upplands Väsby,age 25-34 years,2003,4.3
Upplands Väsby,age 25-34 years,2004,4.2
Upplands Väsby,age 25-34 years,2005,4.2
Upplands Väsby,age 25-34 years,2006,4.4
Upplands Väsby,age 25-34 years,2007,4.6
Upplands Väsby,age 25-34 years,2008,4.7
Upplands Väsby,age 25-34 years,2009,4.6
Upplands Väsby,age 25-34 years,2010,4.6
Upplands Väsby,age 25-34 years,2011,4.8
Upplands Väsby,age 25-34 years,2012,4.7
Upplands Väsby,age 25-34 years,2013,4.7
Upplands Väsby,age 25-34 years,2014,4.9
Upplands Väsby,age 25-34 years,2015,5.1
Upplands Väsby,age 25-34 years,2016,5.3
Upplands Väsby,age 25-34 years,2017,5.4
Upplands Väsby,age 25-34 years,2018,5.4
Upplands Väsby,age 25-34 years,2019,5.3
Upplands Väsby,age 25-34 years,2020,5.4
Upplands Väsby,age 25-34 years,2021,5.6
Upplands Väsby,age 25-34 years,2022,5.7
Upplands Väsby,age 25-34 years,2023,4.9
Upplands Väsby,age 35-44 years,1997,4.2
Upplands Väsby,age 35-44 years,1998,4.3
Upplands Väsby,age 35-44 years,1999,4.6
Upplands Väsby,age 35-44 years,2000,5.1
Upplands Väsby,age 35-44 years,2001,5.2
Upplands Väsby,age 35-44 years,2002,5.3
Upplands Väsby,age 35-44 years,2003,5.3
Upplands Väsby,age 35-44 years,2004,5.2
Upplands Väsby,age 35-44 years,2005,5.4
Upplands Väsby,age 35-44 years,2006,5.6
Upplands Väsby,age 35-44 years,2007,6.0
Upplands Väsby,age 35-44 years,2008,6.3
Upplands Väsby,age 35-44 years,2009,6.2
Upplands Väsby,age 35-44 years,2010,6.3
Upplands Väsby,age 35-44 years,2011,6.6
Upplands Väsby,age 35-44 years,2012,6.5
Upplands Väsby,age 35-44 years,2013,6.5
Upplands Väsby,age 35-44 years,2014,6.7
Upplands Väsby,age 35-44 years,2015,6.8
Upplands Väsby,age 35-44 years,2016,6.8
Upplands Väsby,age 35-44 years,2017,6.9
Upplands Väsby,age 35-44 years,2018,7.8
Upplands Väsby,age 35-44 years,2019,7.0
Upplands Väsby,age 35-44 years,2020,6.8
Upplands Väsby,age 35-44 years,2021,7.1
Upplands Väsby,age 35-44 years,2022,7.3
Upplands Väsby,age 35-44 years,2023,6.4
Upplands Väsby,age 45-54 years,1997,4.6
Upplands Väsby,age 45-54 years,1998,4.7
Upplands Väsby,age 45-54 years,1999,4.9
Upplands Väsby,age 45-54 years,2000,5.3
Upplands Väsby,age 45-54 years,2001,5.3
Upplands Väsby,age 45-54 years,2002,5.4
Upplands Väsby,age 45-54 years,2003,5.3
Upplands Väsby,age 45-54 years,2004,5.3
Upplands Väsby,age 45-54 years,2005,5.5
Upplands Väsby,age 45-54 years,2006,5.7
Upplands Väsby,age 45-54 years,2007,6.1
Upplands Väsby,age 45-54 years,2008,6.2
Upplands Väsby,age 45-54 years,2009,6.4
Upplands Väsby,age 45-54 years,2010,6.5
Upplands Väsby,age 45-54 years,2011,6.7
Upplands Väsby,age 45-54 years,2012,6.8
Upplands Väsby,age 45-54 years,2013,6.8
Upplands Väsby,age 45-54 years,2014,7.3
Upplands Väsby,age 45-54 years,2015,7.5
Upplands Väsby,age 45-54 years,2016,7.7
Upplands Väsby,age 45-54 years,2017,7.9
Upplands Väsby,age 45-54 years,2018,7.9
Upplands Väsby,age 45-54 years,2019,7.7
Upplands Väsby,age 45-54 years,2020,7.9
Upplands Väsby,age 45-54 years,2021,8.3
Upplands Väsby,age 45-54 years,2022,8.3
Upplands Väsby,age 45-54 years,2023,7.0
Upplands Väsby,age 55-64 years,1997,4.4
Upplands Väsby,age 55-64 years,1998,4.6
Upplands Väsby,age 55-64 years,1999,5.0
Upplands Väsby,age 55-64 years,2000,8.2
Upplands Väsby,age 55-64 years,2001,6.2
Upplands Väsby,age 55-64 years,2002,5.3
Upplands Väsby,age 55-64 years,2003,5.3
Upplands Väsby,age 55-64 years,2004,5.2
Upplands Väsby,age 55-64 years,2005,5.7
Upplands Väsby,age 55-64 years,2006,5.8
Upplands Väsby,age 55-64 years,2007,6.2
Upplands Väsby,age 55-64 years,2008,6.2
Upplands Väsby,age 55-64 years,2009,5.9
Upplands Väsby,age 55-64 years,2010,6.2
Upplands Väsby,age 55-64 years,2011,6.3
Upplands Väsby,age 55-64 years,2012,6.5
Upplands Väsby,age 55-64 years,2013,6.2
Upplands Väsby,age 55-64 years,2014,6.6
Upplands Väsby,age 55-64 years,2015,6.8
Upplands Väsby,age 55-64 years,2016,6.8
Upplands Väsby,age 55-64 years,2017,7.0
Upplands Väsby,age 55-64 years,2018,6.8
Upplands Väsby,age 55-64 years,2019,6.8
Upplands Väsby,age 55-64 years,2020,7.0
Upplands Väsby,age 55-64 years,2021,7.4
Upplands Väsby,age 55-64 years,2022,7.5
Upplands Väsby,age 55-64 years,2023,6.7
Vallentuna,all 20-64 years of age,1997,4.2
Vallentuna,all 20-64 years of age,1998,4.3
Vallentuna,all 20-64 years of age,1999,4.6
Vallentuna,all 20-64 years of age,2000,5.1
Vallentuna,all 20-64 years of age,2001,5.2
Vallentuna,all 20-64 years of age,2002,5.2
Vallentuna,all 20-64 years of age,2003,5.1
Vallentuna,all 20-64 years of age,2004,5.1
Vallentuna,all 20-64 years of age,2005,5.3
Vallentuna,all 20-64 years of age,2006,5.6
Vallentuna,all 20-64 years of age,2007,6.1
Vallentuna,all 20-64 years of age,2008,6.2
Vallentuna,all 20-64 years of age,2009,6.1
Vallentuna,all 20-64 years of age,2010,6.3
Vallentuna,all 20-64 years of age,2011,6.5
Vallentuna,all 20-64 years of age,2012,6.4
Vallentuna,all 20-64 years of age,2013,6.5
Vallentuna,all 20-64 years of age,2014,6.9
Vallentuna,all 20-64 years of age,2015,7.1
Vallentuna,all 20-64 years of age,2016,7.3
Vallentuna,all 20-64 years of age,2017,7.4
Vallentuna,all 20-64 years of age,2018,7.5
Vallentuna,all 20-64 years of age,2019,7.4
Vallentuna,all 20-64 years of age,2020,7.5
Vallentuna,all 20-64 years of age,2021,8.0
Vallentuna,all 20-64 years of age,2022,8.1
Vallentuna,all 20-64 years of age,2023,7.2
Vallentuna,20-24 years,1997,2.2
Vallentuna,20-24 years,1998,2.3
Vallentuna,20-24 years,1999,2.5
Vallentuna,20-24 years,2000,2.8
Vallentuna,20-24 years,2001,2.9
Vallentuna,20-24 years,2002,2.9
Vallentuna,20-24 years,2003,2.8
Vallentuna,20-24 years,2004,2.7
Vallentuna,20-24 years,2005,2.7
Vallentuna,20-24 years,2006,2.8
Vallentuna,20-24 years,2007,3.1
Vallentuna,20-24 years,2008,3.1
Vallentuna,20-24 years,2009,2.9
Vallentuna,20-24 years,2010,3.0
Vallentuna,20-24 years,2011,3.1
Vallentuna,20-24 years,2012,3.0
Vallentuna,20-24 years,2013,3.1
Vallentuna,20-24 years,2014,3.2
Vallentuna,20-24 years,2015,3.4
Vallentuna,20-24 years,2016,3.5
Vallentuna,20-24 years,2017,3.6
Vallentuna,20-24 years,2018,3.6
Vallentuna,20-24 years,2019,3.5
Vallentuna,20-24 years,2020,3.5
Vallentuna,20-24 years,2021,3.6
Vallentuna,20-24 years,2022,3.7
Vallentuna,20-24 years,2023,3.2
Vallentuna,age 25-34 years,1997,3.7
Vallentuna,age 25-34 years,1998,3.9
Vallentuna,age 25-34 years,1999,4.1
Vallentuna,age 25-34 years,2000,4.6
Vallentuna,age 25-34 years,2001,4.7
Vallentuna,age 25-34 years,2002,4.7
Vallentuna,age 25-34 years,2003,4.6
Vallentuna,age 25-34 years,2004,4.5
Vallentuna,age 25-34 years,2005,4.6
Vallentuna,age 25-34 years,2006,4.7
Vallentuna,age 25-34 years,2007,5.3
Vallentuna,age 25-34 years,2008,5.3
Vallentuna,age 25-34 years,2009,5.1
Vallentuna,age 25-34 years,2010,5.3
Vallentuna,age 25-34 years,2011,5.4
Vallentuna,age 25-34 years,2012,5.3
Vallentuna,age 25-34 years,2013,5.3
Vallentuna,age 25-34 years,2014,5.6
Vallentuna,age 25-34 years,2015,5.7
Vallentuna,age 25-34 years,2016,5.9
Vallentuna,age 25-34 years,2017,5.9
Vallentuna,age 25-34 years,2018,5.8
Vallentuna,age 25-34 years,2019,5.7
Vallentuna,age 25-34 years,2020,5.7
Vallentuna,age 25-34 years,2021,5.9
Vallentuna,age 25-34 years,2022,6.2
Vallentuna,age 25-34 years,2023,5.3
Vallentuna,age 35-44 years,1997,4.5
Vallentuna,age 35-44 years,1998,4.7
Vallentuna,age 35-44 years,1999,5.0
Vallentuna,age 35-44 years,2000,5.7
Vallentuna,age 35-44 years,2001,5.7
Vallentuna,age 35-44 years,2002,5.7
Vallentuna,age 35-44 years,2003,5.6
Vallentuna,age 35-44 years,2004,5.5
Vallentuna,age 35-44 years,2005,5.7
Vallentuna,age 35-44 years,2006,6.0
Vallentuna,age 35-44 years,2007,6.5
Vallentuna,age 35-44 years,2008,6.8
Vallentuna,age 35-44 years,2009,6.7
Vallentuna,age 35-44 years,2010,7.2
Vallentuna,age 35-44 years,2011,7.5
Vallentuna,age 35-44 years,2012,7.4
Vallentuna,age 35-44 years,2013,7.4
Vallentuna,age 35-44 years,2014,7.8
Vallentuna,age 35-44 years,2015,7.9
Vallentuna,age 35-44 years,2016,8.0
Vallentuna,age 35-44 years,2017,8.1
Vallentuna,age 35-44 years,2018,8.1
Vallentuna,age 35-44 years,2019,8.0
Vallentuna,age 35-44 years,2020,8.1
Vallentuna,age 35-44 years,2021,8.4
Vallentuna,age 35-44 years,2022,8.7
Vallentuna,age 35-44 years,2023,7.5
Vallentuna,age 45-54 years,1997,4.7
Vallentuna,age 45-54 years,1998,4.7
Vallentuna,age 45-54 years,1999,5.0
Vallentuna,age 45-54 years,2000,5.6
Vallentuna,age 45-54 years,2001,5.6
Vallentuna,age 45-54 years,2002,5.7
Vallentuna,age 45-54 years,2003,5.6
Vallentuna,age 45-54 years,2004,5.5
Vallentuna,age 45-54 years,2005,6.0
Vallentuna,age 45-54 years,2006,6.4
Vallentuna,age 45-54 years,2007,6.7
Vallentuna,age 45-54 years,2008,7.0
Vallentuna,age 45-54 years,2009,7.2
Vallentuna,age 45-54 years,2010,7.1
Vallentuna,age 45-54 years,2011,7.4
Vallentuna,age 45-54 years,2012,7.4
Vallentuna,age 45-54 years,2013,7.5
Vallentuna,age 45-54 years,2014,8.1
Vallentuna,age 45-54 years,2015,8.3
Vallentuna,age 45-54 years,2016,8.6
Vallentuna,age 45-54 years,2017,8.7
Vallentuna,age 45-54 years,2018,9.0
Vallentuna,age 45-54 years,2019,8.8
Vallentuna,age 45-54 years,2020,8.9
Vallentuna,age 45-54 years,2021,9.7
Vallentuna,age 45-54 years,2022,9.7
Vallentuna,age 45-54 years,2023,9.1
Vallentuna,age 55-64 years,1997,4.5
Vallentuna,age 55-64 years,1998,4.7
Vallentuna,age 55-64 years,1999,5.0
Vallentuna,age 55-64 years,2000,5.5
Vallentuna,age 55-64 years,2001,5.4
Vallentuna,age 55-64 years,2002,5.5
Vallentuna,age 55-64 years,2003,5.4
Vallentuna,age 55-64 years,2004,5.8
Vallentuna,age 55-64 years,2005,5.7
Vallentuna,age 55-64 years,2006,6.0
Vallentuna,age 55-64 years,2007,6.9
Vallentuna,age 55-64 years,2008,6.6
Vallentuna,age 55-64 years,2009,6.2
Vallentuna,age 55-64 years,2010,6.5
Vallentuna,age 55-64 years,2011,6.7
Vallentuna,age 55-64 years,2012,6.7
Vallentuna,age 55-64 years,2013,6.9
Vallentuna,age 55-64 years,2014,7.1
Vallentuna,age 55-64 years,2015,7.5
Vallentuna,age 55-64 years,2016,7.6
Vallentuna,age 55-64 years,2017,7.9
Vallentuna,age 55-64 years,2018,7.9
Vallentuna,age 55-64 years,2019,8.0
Vallentuna,age 55-64 years,2020,8.3
Vallentuna,age 55-64 years,2021,8.8
Vallentuna,age 55-64 years,2022,8.6
Vallentuna,age 55-64 years,2023,7.7
Österåker,all 20-64 years of age,1997,4.3
Österåker,all 20-64 years of age,1998,4.4
Österåker,all 20-64 years of age,1999,4.7
Österåker,all 20-64 years of age,2000,5.3
Österåker,all 20-64 years of age,2001,5.3
Österåker,all 20-64 years of age,2002,5.4
Österåker,all 20-64 years of age,2003,5.3
Österåker,all 20-64 years of age,2004,5.3
Österåker,all 20-64 years of age,2005,5.5
Österåker,all 20-64 years of age,2006,5.9
Österåker,all 20-64 years of age,2007,6.6
Österåker,all 20-64 years of age,2008,6.5
Österåker,all 20-64 years of age,2009,6.3
Österåker,all 20-64 years of age,2010,6.5
Österåker,all 20-64 years of age,2011,6.7
Österåker,all 20-64 years of age,2012,6.9
Österåker,all 20-64 years of age,2013,6.8
Österåker,all 20-64 years of age,2014,7.1
Österåker,all 20-64 years of age,2015,7.3
Österåker,all 20-64 years of age,2016,7.6
Österåker,all 20-64 years of age,2017,7.8
Österåker,all 20-64 years of age,2018,7.9
Österåker,all 20-64 years of age,2019,7.8
Österåker,all 20-64 years of age,2020,8.0
Österåker,all 20-64 years of age,2021,8.4
Österåker,all 20-64 years of age,2022,8.7
Österåker,all 20-64 years of age,2023,7.5
Österåker,20-24 years,1997,2.2
Österåker,20-24 years,1998,2.3
Österåker,20-24 years,1999,2.5
Österåker,20-24 years,2000,2.7
Österåker,20-24 years,2001,2.8
Österåker,20-24 years,2002,2.8
Österåker,20-24 years,2003,2.7
Österåker,20-24 years,2004,2.6
Österåker,20-24 years,2005,2.6
Österåker,20-24 years,2006,2.7
Österåker,20-24 years,2007,3.1
Österåker,20-24 years,2008,3.0
Österåker,20-24 years,2009,2.8
Österåker,20-24 years,2010,2.9
Österåker,20-24 years,2011,3.0
Österåker,20-24 years,2012,3.0
Österåker,20-24 years,2013,3.0
Österåker,20-24 years,2014,3.1
Österåker,20-24 years,2015,3.3
Österåker,20-24 years,2016,3.5
Österåker,20-24 years,2017,3.6
Österåker,20-24 years,2018,3.7
Österåker,20-24 years,2019,3.6
Österåker,20-24 years,2020,3.6
Österåker,20-24 years,2021,3.7
Österåker,20-24 years,2022,3.8
Österåker,20-24 years,2023,3.3
Österåker,age 25-34 years,1997,3.9
Österåker,age 25-34 years,1998,4.1
Österåker,age 25-34 years,1999,4.4
Österåker,age 25-34 years,2000,4.8
Österåker,age 25-34 years,2001,4.8
Österåker,age 25-34 years,2002,4.9
Österåker,age 25-34 years,2003,4.6
Österåker,age 25-34 years,2004,4.5
Österåker,age 25-34 years,2005,4.7
Österåker,age 25-34 years,2006,4.8
Österåker,age 25-34 years,2007,5.1
Österåker,age 25-34 years,2008,5.2
Österåker,age 25-34 years,2009,4.9
Österåker,age 25-34 years,2010,5.1
Österåker,age 25-34 years,2011,5.2
Österåker,age 25-34 years,2012,5.1
Österåker,age 25-34 years,2013,5.1
Österåker,age 25-34 years,2014,5.3
Österåker,age 25-34 years,2015,5.5
Österåker,age 25-34 years,2016,5.6
Österåker,age 25-34 years,2017,5.7
Österåker,age 25-34 years,2018,5.7
Österåker,age 25-34 years,2019,5.7
Österåker,age 25-34 years,2020,5.8
Österåker,age 25-34 years,2021,6.1
Österåker,age 25-34 years,2022,6.3
Österåker,age 25-34 years,2023,5.4
Österåker,age 35-44 years,1997,4.6
Österåker,age 35-44 years,1998,4.7
Österåker,age 35-44 years,1999,5.0
Österåker,age 35-44 years,2000,6.0
Österåker,age 35-44 years,2001,5.9
Österåker,age 35-44 years,2002,6.0
Österåker,age 35-44 years,2003,6.0
Österåker,age 35-44 years,2004,6.0
Österåker,age 35-44 years,2005,6.1
Österåker,age 35-44 years,2006,6.6
Österåker,age 35-44 years,2007,7.2
Österåker,age 35-44 years,2008,7.3
Österåker,age 35-44 years,2009,7.1
Österåker,age 35-44 years,2010,7.3
Österåker,age 35-44 years,2011,7.4
Österåker,age 35-44 years,2012,7.7
Österåker,age 35-44 years,2013,7.4
Österåker,age 35-44 years,2014,7.8
Österåker,age 35-44 years,2015,7.9
Österåker,age 35-44 years,2016,8.1
Österåker,age 35-44 years,2017,8.0
Österåker,age 35-44 years,2018,7.9
Österåker,age 35-44 years,2019,8.0
Österåker,age 35-44 years,2020,8.2
Österåker,age 35-44 years,2021,8.6
Österåker,age 35-44 years,2022,8.6
Österåker,age 35-44 years,2023,7.5
Österåker,age 45-54 years,1997,4.8
Österåker,age 45-54 years,1998,4.7
Österåker,age 45-54 years,1999,5.1
Österåker,age 45-54 years,2000,5.5
Österåker,age 45-54 years,2001,5.6
Österåker,age 45-54 years,2002,5.7
Österåker,age 45-54 years,2003,5.7
Österåker,age 45-54 years,2004,5.6
Österåker,age 45-54 years,2005,6.0
Österåker,age 45-54 years,2006,6.3
Österåker,age 45-54 years,2007,7.6
Österåker,age 45-54 years,2008,7.5
Österåker,age 45-54 years,2009,7.2
Österåker,age 45-54 years,2010,7.6
Österåker,age 45-54 years,2011,7.8
Österåker,age 45-54 years,2012,8.2
Österåker,age 45-54 years,2013,8.4
Österåker,age 45-54 years,2014,8.6
Österåker,age 45-54 years,2015,9.0
Österåker,age 45-54 years,2016,9.4
Österåker,age 45-54 years,2017,9.9
Österåker,age 45-54 years,2018,10.2
Österåker,age 45-54 years,2019,9.7
Österåker,age 45-54 years,2020,9.2
Österåker,age 45-54 years,2021,9.8
Österåker,age 45-54 years,2022,10.1
Österåker,age 45-54 years,2023,8.7
Österåker,age 55-64 years,1997,4.8
Österåker,age 55-64 years,1998,5.0
Österåker,age 55-64 years,1999,5.3
Österåker,age 55-64 years,2000,5.9
Österåker,age 55-64 years,2001,5.7
Österåker,age 55-64 years,2002,5.8
Österåker,age 55-64 years,2003,5.4
Österåker,age 55-64 years,2004,5.5
Österåker,age 55-64 years,2005,6.0
Österåker,age 55-64 years,2006,6.4
Österåker,age 55-64 years,2007,7.0
Österåker,age 55-64 years,2008,6.6
Österåker,age 55-64 years,2009,6.3
Österåker,age 55-64 years,2010,6.6
Österåker,age 55-64 years,2011,6.9
Österåker,age 55-64 years,2012,7.2
Österåker,age 55-64 years,2013,7.2
Österåker,age 55-64 years,2014,7.5
Österåker,age 55-64 years,2015,7.9
Österåker,age 55-64 years,2016,8.1
Österåker,age 55-64 years,2017,8.3
Österåker,age 55-64 years,2018,8.4
Österåker,age 55-64 years,2019,8.4
Österåker,age 55-64 years,2020,9.9
Österåker,age 55-64 years,2021,10.3
Österåker,age 55-64 years,2022,11.1
Österåker,age 55-64 years,2023,9.4
Värmdö,all 20-64 years of age,1997,4.1
Värmdö,all 20-64 years of age,1998,4.3
Värmdö,all 20-64 years of age,1999,4.8
Värmdö,all 20-64 years of age,2000,5.3
Värmdö,all 20-64 years of age,2001,5.4
Värmdö,all 20-64 years of age,2002,5.2
Värmdö,all 20-64 years of age,2003,5.5
Värmdö,all 20-64 years of age,2004,5.2
Värmdö,all 20-64 years of age,2005,5.5
Värmdö,all 20-64 years of age,2006,5.8
Värmdö,all 20-64 years of age,2007,6.4
Värmdö,all 20-64 years of age,2008,6.5
Värmdö,all 20-64 years of age,2009,6.3
Värmdö,all 20-64 years of age,2010,6.5
Värmdö,all 20-64 years of age,2011,6.7
Värmdö,all 20-64 years of age,2012,6.7
Värmdö,all 20-64 years of age,2013,6.8
Värmdö,all 20-64 years of age,2014,7.2
Värmdö,all 20-64 years of age,2015,7.5
Värmdö,all 20-64 years of age,2016,7.6
Värmdö,all 20-64 years of age,2017,7.7
Värmdö,all 20-64 years of age,2018,7.5
Värmdö,all 20-64 years of age,2019,7.6
Värmdö,all 20-64 years of age,2020,7.8
Värmdö,all 20-64 years of age,2021,8.3
Värmdö,all 20-64 years of age,2022,8.8
Värmdö,all 20-64 years of age,2023,7.5
Värmdö,20-24 years,1997,2.2
Värmdö,20-24 years,1998,2.3
Värmdö,20-24 years,1999,2.5
Värmdö,20-24 years,2000,2.7
Värmdö,20-24 years,2001,2.7
Värmdö,20-24 years,2002,2.7
Värmdö,20-24 years,2003,2.7
Värmdö,20-24 years,2004,2.6
Värmdö,20-24 years,2005,2.7
Värmdö,20-24 years,2006,2.7
Värmdö,20-24 years,2007,3.1
Värmdö,20-24 years,2008,3.1
Värmdö,20-24 years,2009,2.8
Värmdö,20-24 years,2010,2.9
Värmdö,20-24 years,2011,3.0
Värmdö,20-24 years,2012,3.0
Värmdö,20-24 years,2013,3.0
Värmdö,20-24 years,2014,3.1
Värmdö,20-24 years,2015,3.3
Värmdö,20-24 years,2016,3.6
Värmdö,20-24 years,2017,3.7
Värmdö,20-24 years,2018,3.7
Värmdö,20-24 years,2019,3.8
Värmdö,20-24 years,2020,3.5
Värmdö,20-24 years,2021,3.7
Värmdö,20-24 years,2022,3.8
Värmdö,20-24 years,2023,3.2
Värmdö,age 25-34 years,1997,3.9
Värmdö,age 25-34 years,1998,4.2
Värmdö,age 25-34 years,1999,4.9
Värmdö,age 25-34 years,2000,5.0
Värmdö,age 25-34 years,2001,5.9
Värmdö,age 25-34 years,2002,4.8
Värmdö,age 25-34 years,2003,5.9
Värmdö,age 25-34 years,2004,5.3
Värmdö,age 25-34 years,2005,5.4
Värmdö,age 25-34 years,2006,5.2
Värmdö,age 25-34 years,2007,5.3
Värmdö,age 25-34 years,2008,5.3
Värmdö,age 25-34 years,2009,5.1
Värmdö,age 25-34 years,2010,5.3
Värmdö,age 25-34 years,2011,5.3
Värmdö,age 25-34 years,2012,5.2
Värmdö,age 25-34 years,2013,5.2
Värmdö,age 25-34 years,2014,5.4
Värmdö,age 25-34 years,2015,5.6
Värmdö,age 25-34 years,2016,5.7
Värmdö,age 25-34 years,2017,5.7
Värmdö,age 25-34 years,2018,5.7
Värmdö,age 25-34 years,2019,5.8
Värmdö,age 25-34 years,2020,5.8
Värmdö,age 25-34 years,2021,6.3
Värmdö,age 25-34 years,2022,6.6
Värmdö,age 25-34 years,2023,5.6
Värmdö,age 35-44 years,1997,4.4
Värmdö,age 35-44 years,1998,4.6
Värmdö,age 35-44 years,1999,5.0
Värmdö,age 35-44 years,2000,6.0
Värmdö,age 35-44 years,2001,5.8
Värmdö,age 35-44 years,2002,5.6
Värmdö,age 35-44 years,2003,5.5
Värmdö,age 35-44 years,2004,5.6
Värmdö,age 35-44 years,2005,5.8
Värmdö,age 35-44 years,2006,6.1
Värmdö,age 35-44 years,2007,7.1
Värmdö,age 35-44 years,2008,7.2
Värmdö,age 35-44 years,2009,7.0
Värmdö,age 35-44 years,2010,7.4
Värmdö,age 35-44 years,2011,7.5
Värmdö,age 35-44 years,2012,7.5
Värmdö,age 35-44 years,2013,7.6
Värmdö,age 35-44 years,2014,8.0
Värmdö,age 35-44 years,2015,8.1
Värmdö,age 35-44 years,2016,8.3
Värmdö,age 35-44 years,2017,8.4
Värmdö,age 35-44 years,2018,8.2
Värmdö,age 35-44 years,2019,8.1
Värmdö,age 35-44 years,2020,8.2
Värmdö,age 35-44 years,2021,8.7
Värmdö,age 35-44 years,2022,9.0
Värmdö,age 35-44 years,2023,7.8
Värmdö,age 45-54 years,1997,4.5
Värmdö,age 45-54 years,1998,4.6
Värmdö,age 45-54 years,1999,5.0
Värmdö,age 45-54 years,2000,5.5
Värmdö,age 45-54 years,2001,5.4
Värmdö,age 45-54 years,2002,5.5
Värmdö,age 45-54 years,2003,5.8
Värmdö,age 45-54 years,2004,5.5
Värmdö,age 45-54 years,2005,5.8
Värmdö,age 45-54 years,2006,6.5
Värmdö,age 45-54 years,2007,6.9
Värmdö,age 45-54 years,2008,7.0
Värmdö,age 45-54 years,2009,7.0
Värmdö,age 45-54 years,2010,7.3
Värmdö,age 45-54 years,2011,7.5
Värmdö,age 45-54 years,2012,7.7
Värmdö,age 45-54 years,2013,7.7
Värmdö,age 45-54 years,2014,8.4
Värmdö,age 45-54 years,2015,8.9
Värmdö,age 45-54 years,2016,9.1
Värmdö,age 45-54 years,2017,9.1
Värmdö,age 45-54 years,2018,9.0
Värmdö,age 45-54 years,2019,9.2
Värmdö,age 45-54 years,2020,9.5
Värmdö,age 45-54 years,2021,10.1
Värmdö,age 45-54 years,2022,10.8
Värmdö,age 45-54 years,2023,9.3
Värmdö,age 55-64 years,1997,4.4
Värmdö,age 55-64 years,1998,4.4
Värmdö,age 55-64 years,1999,5.1
Värmdö,age 55-64 years,2000,5.4
Värmdö,age 55-64 years,2001,5.2
Värmdö,age 55-64 years,2002,5.3
Värmdö,age 55-64 years,2003,5.4
Värmdö,age 55-64 years,2004,5.2
Värmdö,age 55-64 years,2005,5.6
Värmdö,age 55-64 years,2006,6.0
Värmdö,age 55-64 years,2007,6.6
Värmdö,age 55-64 years,2008,7.0
Värmdö,age 55-64 years,2009,6.4
Värmdö,age 55-64 years,2010,6.6
Värmdö,age 55-64 years,2011,6.9
Värmdö,age 55-64 years,2012,6.9
Värmdö,age 55-64 years,2013,7.1
Värmdö,age 55-64 years,2014,7.8
Värmdö,age 55-64 years,2015,7.9
Värmdö,age 55-64 years,2016,8.0
